"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",8,"Yes","Yes","Nfad_2015","SE",568.18
"2",1,"3",8,"No","Yes","Nfad_2015","SE",1253.05
"3",1,"3",8,"Yes","Yes","Nfad_2020","SE",665.51
"4",1,"3",8,"No","Yes","Nfad_2020","SE",1061.47
"5",1,"3",8,"Yes","Yes","Nfad_2025","SE",848.42
"6",1,"3",8,"No","Yes","Nfad_2025","SE",1382.07
"7",1,"3",8,"Yes","Yes","fadsurv","SE",0
"8",1,"3",8,"No","Yes","fadsurv","SE",0.01
"9",1,"3",8,"Yes","Yes","fjusurv","SE",0.02
"10",1,"3",8,"No","Yes","fjusurv","SE",0.03
"11",1,"3",8,"Yes","Yes","ppn_breedy","SE",0.01
"12",1,"3",8,"No","Yes","ppn_breedy","SE",0.13
"13",1,"3",8,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",1,"3",8,"No","Yes","rel_ad_15_25","SE",0.06
