"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"1",7,"Yes","Yes","Nfad_2015","SE",6672.36
"2",3,"1",7,"No","Yes","Nfad_2015","SE",16525.79
"3",3,"1",7,"Yes","Yes","Nfad_2020","SE",8792.87
"4",3,"1",7,"No","Yes","Nfad_2020","SE",15389.94
"5",3,"1",7,"Yes","Yes","Nfad_2025","SE",12422.5
"6",3,"1",7,"No","Yes","Nfad_2025","SE",21848.09
"7",3,"1",7,"Yes","Yes","fadsurv","SE",0.01
"8",3,"1",7,"No","Yes","fadsurv","SE",0.02
"9",3,"1",7,"Yes","Yes","fjusurv","SE",0.03
"10",3,"1",7,"No","Yes","fjusurv","SE",0.05
"11",3,"1",7,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"1",7,"No","Yes","ppn_breedy","SE",0.26
"13",3,"1",7,"Yes","Yes","rel_ad_15_25","SE",0.08
"14",3,"1",7,"No","Yes","rel_ad_15_25","SE",0.21
