"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"1",9,"Yes","Yes","Nfad_2015","SE",718.9
"2",1,"1",9,"No","Yes","Nfad_2015","SE",1540.18
"3",1,"1",9,"Yes","Yes","Nfad_2020","SE",959.15
"4",1,"1",9,"No","Yes","Nfad_2020","SE",1495.58
"5",1,"1",9,"Yes","Yes","Nfad_2025","SE",1276.86
"6",1,"1",9,"No","Yes","Nfad_2025","SE",2225.82
"7",1,"1",9,"Yes","Yes","fadsurv","SE",0
"8",1,"1",9,"No","Yes","fadsurv","SE",0.01
"9",1,"1",9,"Yes","Yes","fjusurv","SE",0.02
"10",1,"1",9,"No","Yes","fjusurv","SE",0.03
"11",1,"1",9,"Yes","Yes","ppn_breedy","SE",0.01
"12",1,"1",9,"No","Yes","ppn_breedy","SE",0.15
"13",1,"1",9,"Yes","Yes","rel_ad_15_25","SE",0.04
"14",1,"1",9,"No","Yes","rel_ad_15_25","SE",0.1
