"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"3",7,"Yes","Yes","Nfad_2015","SE",6461.11
"2",3,"3",7,"No","Yes","Nfad_2015","SE",16516.74
"3",3,"3",7,"Yes","Yes","Nfad_2020","SE",8570.22
"4",3,"3",7,"No","Yes","Nfad_2020","SE",14047.82
"5",3,"3",7,"Yes","Yes","Nfad_2025","SE",12048.53
"6",3,"3",7,"No","Yes","Nfad_2025","SE",19486.18
"7",3,"3",7,"Yes","Yes","fadsurv","SE",0.01
"8",3,"3",7,"No","Yes","fadsurv","SE",0.02
"9",3,"3",7,"Yes","Yes","fjusurv","SE",0.03
"10",3,"3",7,"No","Yes","fjusurv","SE",0.05
"11",3,"3",7,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"3",7,"No","Yes","ppn_breedy","SE",0.25
"13",3,"3",7,"Yes","Yes","rel_ad_15_25","SE",0.08
"14",3,"3",7,"No","Yes","rel_ad_15_25","SE",0.21
