"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",4,"Yes","Yes","Nfad_2015","SE",2745.56
"2",2,"1",4,"No","Yes","Nfad_2015","SE",7529.29
"3",2,"1",4,"Yes","Yes","Nfad_2020","SE",3236.02
"4",2,"1",4,"No","Yes","Nfad_2020","SE",6023.93
"5",2,"1",4,"Yes","Yes","Nfad_2025","SE",4325.6
"6",2,"1",4,"No","Yes","Nfad_2025","SE",7476.27
"7",2,"1",4,"Yes","Yes","fadsurv","SE",0.01
"8",2,"1",4,"No","Yes","fadsurv","SE",0.01
"9",2,"1",4,"Yes","Yes","fjusurv","SE",0.02
"10",2,"1",4,"No","Yes","fjusurv","SE",0.03
"11",2,"1",4,"Yes","Yes","ppn_breedy","SE",0.02
"12",2,"1",4,"No","Yes","ppn_breedy","SE",0.17
"13",2,"1",4,"Yes","Yes","rel_ad_15_25","SE",0.05
"14",2,"1",4,"No","Yes","rel_ad_15_25","SE",0.13
