"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",2,"Yes","Yes","Nfad_2015","SE",3648.08
"2",2,"3",2,"No","Yes","Nfad_2015","SE",8170.92
"3",2,"3",2,"Yes","Yes","Nfad_2020","SE",4974.11
"4",2,"3",2,"No","Yes","Nfad_2020","SE",7880.46
"5",2,"3",2,"Yes","Yes","Nfad_2025","SE",6832.31
"6",2,"3",2,"No","Yes","Nfad_2025","SE",12410.51
"7",2,"3",2,"Yes","Yes","fadsurv","SE",0.01
"8",2,"3",2,"No","Yes","fadsurv","SE",0.02
"9",2,"3",2,"Yes","Yes","fjusurv","SE",0.03
"10",2,"3",2,"No","Yes","fjusurv","SE",0.04
"11",2,"3",2,"Yes","Yes","ppn_breedy","SE",0.02
"12",2,"3",2,"No","Yes","ppn_breedy","SE",0.22
"13",2,"3",2,"Yes","Yes","rel_ad_15_25","SE",0.07
"14",2,"3",2,"No","Yes","rel_ad_15_25","SE",0.2
