"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",1,"Yes","Yes","Nfad_2015","SE",4277.63
"2",2,"3",1,"No","Yes","Nfad_2015","SE",8489.95
"3",2,"3",1,"Yes","Yes","Nfad_2020","SE",6194.21
"4",2,"3",1,"No","Yes","Nfad_2020","SE",10318.4
"5",2,"3",1,"Yes","Yes","Nfad_2025","SE",8627.06
"6",2,"3",1,"No","Yes","Nfad_2025","SE",17935.78
"7",2,"3",1,"Yes","Yes","fadsurv","SE",0.01
"8",2,"3",1,"No","Yes","fadsurv","SE",0.02
"9",2,"3",1,"Yes","Yes","fjusurv","SE",0.04
"10",2,"3",1,"No","Yes","fjusurv","SE",0.05
"11",2,"3",1,"Yes","Yes","ppn_breedy","SE",0.02
"12",2,"3",1,"No","Yes","ppn_breedy","SE",0.24
"13",2,"3",1,"Yes","Yes","rel_ad_15_25","SE",0.09
"14",2,"3",1,"No","Yes","rel_ad_15_25","SE",0.28
