"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"1",8,"Yes","Yes","Nfad_2015","SE",6118.26
"2",3,"1",8,"No","Yes","Nfad_2015","SE",15934.31
"3",3,"1",8,"Yes","Yes","Nfad_2020","SE",7643.29
"4",3,"1",8,"No","Yes","Nfad_2020","SE",14176.79
"5",3,"1",8,"Yes","Yes","Nfad_2025","SE",10635.92
"6",3,"1",8,"No","Yes","Nfad_2025","SE",18729.18
"7",3,"1",8,"Yes","Yes","fadsurv","SE",0.01
"8",3,"1",8,"No","Yes","fadsurv","SE",0.02
"9",3,"1",8,"Yes","Yes","fjusurv","SE",0.03
"10",3,"1",8,"No","Yes","fjusurv","SE",0.05
"11",3,"1",8,"Yes","Yes","ppn_breedy","SE",0.02
"12",3,"1",8,"No","Yes","ppn_breedy","SE",0.24
"13",3,"1",8,"Yes","Yes","rel_ad_15_25","SE",0.07
"14",3,"1",8,"No","Yes","rel_ad_15_25","SE",0.18
