"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"3",9,"Yes","Yes","Nfad_2015","SE",6779.7
"2",3,"3",9,"No","Yes","Nfad_2015","SE",16919.79
"3",3,"3",9,"Yes","Yes","Nfad_2020","SE",9430.41
"4",3,"3",9,"No","Yes","Nfad_2020","SE",13991.17
"5",3,"3",9,"Yes","Yes","Nfad_2025","SE",13443.9
"6",3,"3",9,"No","Yes","Nfad_2025","SE",21440.32
"7",3,"3",9,"Yes","Yes","fadsurv","SE",0.01
"8",3,"3",9,"No","Yes","fadsurv","SE",0.02
"9",3,"3",9,"Yes","Yes","fjusurv","SE",0.04
"10",3,"3",9,"No","Yes","fjusurv","SE",0.05
"11",3,"3",9,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"3",9,"No","Yes","ppn_breedy","SE",0.25
"13",3,"3",9,"Yes","Yes","rel_ad_15_25","SE",0.09
"14",3,"3",9,"No","Yes","rel_ad_15_25","SE",0.25
