"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",9,"Yes","Yes","Nfad_2015","SE",690.63
"2",1,"3",9,"No","Yes","Nfad_2015","SE",1336.39
"3",1,"3",9,"Yes","Yes","Nfad_2020","SE",930.15
"4",1,"3",9,"No","Yes","Nfad_2020","SE",1350.69
"5",1,"3",9,"Yes","Yes","Nfad_2025","SE",1210.78
"6",1,"3",9,"No","Yes","Nfad_2025","SE",2079.77
"7",1,"3",9,"Yes","Yes","fadsurv","SE",0
"8",1,"3",9,"No","Yes","fadsurv","SE",0.01
"9",1,"3",9,"Yes","Yes","fjusurv","SE",0.02
"10",1,"3",9,"No","Yes","fjusurv","SE",0.03
"11",1,"3",9,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"3",9,"No","Yes","ppn_breedy","SE",0.15
"13",1,"3",9,"Yes","Yes","rel_ad_15_25","SE",0.04
"14",1,"3",9,"No","Yes","rel_ad_15_25","SE",0.1
