"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"1",4,"Yes","Yes","Nfad_2015","SE",5269.39
"2",3,"1",4,"No","Yes","Nfad_2015","SE",15525.01
"3",3,"1",4,"Yes","Yes","Nfad_2020","SE",6327.87
"4",3,"1",4,"No","Yes","Nfad_2020","SE",12171.77
"5",3,"1",4,"Yes","Yes","Nfad_2025","SE",8703.91
"6",3,"1",4,"No","Yes","Nfad_2025","SE",14268.74
"7",3,"1",4,"Yes","Yes","fadsurv","SE",0.01
"8",3,"1",4,"No","Yes","fadsurv","SE",0.01
"9",3,"1",4,"Yes","Yes","fjusurv","SE",0.03
"10",3,"1",4,"No","Yes","fjusurv","SE",0.04
"11",3,"1",4,"Yes","Yes","ppn_breedy","SE",0.02
"12",3,"1",4,"No","Yes","ppn_breedy","SE",0.21
"13",3,"1",4,"Yes","Yes","rel_ad_15_25","SE",0.06
"14",3,"1",4,"No","Yes","rel_ad_15_25","SE",0.16
