"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",1,"Yes","Yes","Nfad_2015","SE",815.12
"2",1,"3",1,"No","Yes","Nfad_2015","SE",1459.73
"3",1,"3",1,"Yes","Yes","Nfad_2020","SE",1155.51
"4",1,"3",1,"No","Yes","Nfad_2020","SE",1865.07
"5",1,"3",1,"Yes","Yes","Nfad_2025","SE",1512.79
"6",1,"3",1,"No","Yes","Nfad_2025","SE",3048.29
"7",1,"3",1,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",1,"No","Yes","fadsurv","SE",0.01
"9",1,"3",1,"Yes","Yes","fjusurv","SE",0.03
"10",1,"3",1,"No","Yes","fjusurv","SE",0.03
"11",1,"3",1,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"3",1,"No","Yes","ppn_breedy","SE",0.17
"13",1,"3",1,"Yes","Yes","rel_ad_15_25","SE",0.05
"14",1,"3",1,"No","Yes","rel_ad_15_25","SE",0.14
