"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",5,"Yes","Yes","Nfad_2015","SE",4508.24
"2",2,"1",5,"No","Yes","Nfad_2015","SE",8819.12
"3",2,"1",5,"Yes","Yes","Nfad_2020","SE",6625.29
"4",2,"1",5,"No","Yes","Nfad_2020","SE",12321.35
"5",2,"1",5,"Yes","Yes","Nfad_2025","SE",9331.8
"6",2,"1",5,"No","Yes","Nfad_2025","SE",21361.89
"7",2,"1",5,"Yes","Yes","fadsurv","SE",0.01
"8",2,"1",5,"No","Yes","fadsurv","SE",0.03
"9",2,"1",5,"Yes","Yes","fjusurv","SE",0.04
"10",2,"1",5,"No","Yes","fjusurv","SE",0.06
"11",2,"1",5,"Yes","Yes","ppn_breedy","SE",0.03
"12",2,"1",5,"No","Yes","ppn_breedy","SE",0.25
"13",2,"1",5,"Yes","Yes","rel_ad_15_25","SE",0.09
"14",2,"1",5,"No","Yes","rel_ad_15_25","SE",0.31
