"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"3",6,"Yes","Yes","Nfad_2015","SE",7192.32
"2",3,"3",6,"No","Yes","Nfad_2015","SE",17112.6
"3",3,"3",6,"Yes","Yes","Nfad_2020","SE",10037.12
"4",3,"3",6,"No","Yes","Nfad_2020","SE",15489.84
"5",3,"3",6,"Yes","Yes","Nfad_2025","SE",14301.29
"6",3,"3",6,"No","Yes","Nfad_2025","SE",23711.09
"7",3,"3",6,"Yes","Yes","fadsurv","SE",0.01
"8",3,"3",6,"No","Yes","fadsurv","SE",0.02
"9",3,"3",6,"Yes","Yes","fjusurv","SE",0.04
"10",3,"3",6,"No","Yes","fjusurv","SE",0.05
"11",3,"3",6,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"3",6,"No","Yes","ppn_breedy","SE",0.27
"13",3,"3",6,"Yes","Yes","rel_ad_15_25","SE",0.09
"14",3,"3",6,"No","Yes","rel_ad_15_25","SE",0.25
