"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",7,"Yes","Yes","Nfad_2015","SE",625.98
"2",1,"3",7,"No","Yes","Nfad_2015","SE",1316.15
"3",1,"3",7,"Yes","Yes","Nfad_2020","SE",784.18
"4",1,"3",7,"No","Yes","Nfad_2020","SE",1208.94
"5",1,"3",7,"Yes","Yes","Nfad_2025","SE",1012.81
"6",1,"3",7,"No","Yes","Nfad_2025","SE",1689
"7",1,"3",7,"Yes","Yes","fadsurv","SE",0
"8",1,"3",7,"No","Yes","fadsurv","SE",0.01
"9",1,"3",7,"Yes","Yes","fjusurv","SE",0.02
"10",1,"3",7,"No","Yes","fjusurv","SE",0.03
"11",1,"3",7,"Yes","Yes","ppn_breedy","SE",0.01
"12",1,"3",7,"No","Yes","ppn_breedy","SE",0.14
"13",1,"3",7,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",1,"3",7,"No","Yes","rel_ad_15_25","SE",0.08
