"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",9,"Yes","Yes","Nfad_2015","SE",3546.98
"2",2,"1",9,"No","Yes","Nfad_2015","SE",8082.76
"3",2,"1",9,"Yes","Yes","Nfad_2020","SE",4872.29
"4",2,"1",9,"No","Yes","Nfad_2020","SE",8172.75
"5",2,"1",9,"Yes","Yes","Nfad_2025","SE",6795.21
"6",2,"1",9,"No","Yes","Nfad_2025","SE",13009.49
"7",2,"1",9,"Yes","Yes","fadsurv","SE",0.01
"8",2,"1",9,"No","Yes","fadsurv","SE",0.02
"9",2,"1",9,"Yes","Yes","fjusurv","SE",0.03
"10",2,"1",9,"No","Yes","fjusurv","SE",0.05
"11",2,"1",9,"Yes","Yes","ppn_breedy","SE",0.02
"12",2,"1",9,"No","Yes","ppn_breedy","SE",0.21
"13",2,"1",9,"Yes","Yes","rel_ad_15_25","SE",0.07
"14",2,"1",9,"No","Yes","rel_ad_15_25","SE",0.2
