"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"1",5,"Yes","Yes","Nfad_2015","SE",8297.79
"2",3,"1",5,"No","Yes","Nfad_2015","SE",17997.51
"3",3,"1",5,"Yes","Yes","Nfad_2020","SE",12213.49
"4",3,"1",5,"No","Yes","Nfad_2020","SE",19679.2
"5",3,"1",5,"Yes","Yes","Nfad_2025","SE",17710.65
"6",3,"1",5,"No","Yes","Nfad_2025","SE",33496.01
"7",3,"1",5,"Yes","Yes","fadsurv","SE",0.01
"8",3,"1",5,"No","Yes","fadsurv","SE",0.02
"9",3,"1",5,"Yes","Yes","fjusurv","SE",0.04
"10",3,"1",5,"No","Yes","fjusurv","SE",0.07
"11",3,"1",5,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"1",5,"No","Yes","ppn_breedy","SE",0.3
"13",3,"1",5,"Yes","Yes","rel_ad_15_25","SE",0.11
"14",3,"1",5,"No","Yes","rel_ad_15_25","SE",0.33
