"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"1",5,"Yes","Yes","Nfad_2015","SE",903.55
"2",1,"1",5,"No","Yes","Nfad_2015","SE",1714.64
"3",1,"1",5,"Yes","Yes","Nfad_2020","SE",1303.87
"4",1,"1",5,"No","Yes","Nfad_2020","SE",2273.48
"5",1,"1",5,"Yes","Yes","Nfad_2025","SE",1749.62
"6",1,"1",5,"No","Yes","Nfad_2025","SE",3638.99
"7",1,"1",5,"Yes","Yes","fadsurv","SE",0.01
"8",1,"1",5,"No","Yes","fadsurv","SE",0.01
"9",1,"1",5,"Yes","Yes","fjusurv","SE",0.03
"10",1,"1",5,"No","Yes","fjusurv","SE",0.04
"11",1,"1",5,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"1",5,"No","Yes","ppn_breedy","SE",0.18
"13",1,"1",5,"Yes","Yes","rel_ad_15_25","SE",0.05
"14",1,"1",5,"No","Yes","rel_ad_15_25","SE",0.15
