"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"3",1,"Yes","Yes","Nfad_2015","SE",7879.61
"2",3,"3",1,"No","Yes","Nfad_2015","SE",17672.47
"3",3,"3",1,"Yes","Yes","Nfad_2020","SE",11435.72
"4",3,"3",1,"No","Yes","Nfad_2020","SE",16710.7
"5",3,"3",1,"Yes","Yes","Nfad_2025","SE",16434.95
"6",3,"3",1,"No","Yes","Nfad_2025","SE",27545.67
"7",3,"3",1,"Yes","Yes","fadsurv","SE",0.01
"8",3,"3",1,"No","Yes","fadsurv","SE",0.02
"9",3,"3",1,"Yes","Yes","fjusurv","SE",0.04
"10",3,"3",1,"No","Yes","fjusurv","SE",0.05
"11",3,"3",1,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"3",1,"No","Yes","ppn_breedy","SE",0.29
"13",3,"3",1,"Yes","Yes","rel_ad_15_25","SE",0.11
"14",3,"3",1,"No","Yes","rel_ad_15_25","SE",0.29
