"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"3",5,"Yes","Yes","Nfad_2015","SE",8512.55
"2",3,"3",5,"No","Yes","Nfad_2015","SE",17812.86
"3",3,"3",5,"Yes","Yes","Nfad_2020","SE",12676.28
"4",3,"3",5,"No","Yes","Nfad_2020","SE",19532.06
"5",3,"3",5,"Yes","Yes","Nfad_2025","SE",18369.98
"6",3,"3",5,"No","Yes","Nfad_2025","SE",34399.6
"7",3,"3",5,"Yes","Yes","fadsurv","SE",0.01
"8",3,"3",5,"No","Yes","fadsurv","SE",0.02
"9",3,"3",5,"Yes","Yes","fjusurv","SE",0.04
"10",3,"3",5,"No","Yes","fjusurv","SE",0.06
"11",3,"3",5,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"3",5,"No","Yes","ppn_breedy","SE",0.31
"13",3,"3",5,"Yes","Yes","rel_ad_15_25","SE",0.12
"14",3,"3",5,"No","Yes","rel_ad_15_25","SE",0.35
