"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"1",6,"Yes","Yes","Nfad_2015","SE",7381.74
"2",3,"1",6,"No","Yes","Nfad_2015","SE",17222.48
"3",3,"1",6,"Yes","Yes","Nfad_2020","SE",10273.44
"4",3,"1",6,"No","Yes","Nfad_2020","SE",17052.36
"5",3,"1",6,"Yes","Yes","Nfad_2025","SE",14709.24
"6",3,"1",6,"No","Yes","Nfad_2025","SE",26304.93
"7",3,"1",6,"Yes","Yes","fadsurv","SE",0.01
"8",3,"1",6,"No","Yes","fadsurv","SE",0.02
"9",3,"1",6,"Yes","Yes","fjusurv","SE",0.04
"10",3,"1",6,"No","Yes","fjusurv","SE",0.06
"11",3,"1",6,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"1",6,"No","Yes","ppn_breedy","SE",0.28
"13",3,"1",6,"Yes","Yes","rel_ad_15_25","SE",0.1
"14",3,"1",6,"No","Yes","rel_ad_15_25","SE",0.26
