"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"3",4,"Yes","Yes","Nfad_2015","SE",5444.53
"2",3,"3",4,"No","Yes","Nfad_2015","SE",15747.81
"3",3,"3",4,"Yes","Yes","Nfad_2020","SE",6730.35
"4",3,"3",4,"No","Yes","Nfad_2020","SE",12065.99
"5",3,"3",4,"Yes","Yes","Nfad_2025","SE",9212.8
"6",3,"3",4,"No","Yes","Nfad_2025","SE",14103.27
"7",3,"3",4,"Yes","Yes","fadsurv","SE",0.01
"8",3,"3",4,"No","Yes","fadsurv","SE",0.01
"9",3,"3",4,"Yes","Yes","fjusurv","SE",0.03
"10",3,"3",4,"No","Yes","fjusurv","SE",0.04
"11",3,"3",4,"Yes","Yes","ppn_breedy","SE",0.02
"12",3,"3",4,"No","Yes","ppn_breedy","SE",0.21
"13",3,"3",4,"Yes","Yes","rel_ad_15_25","SE",0.06
"14",3,"3",4,"No","Yes","rel_ad_15_25","SE",0.16
