"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",5,"Yes","Yes","Nfad_2015","SE",888.17
"2",1,"3",5,"No","Yes","Nfad_2015","SE",1527.52
"3",1,"3",5,"Yes","Yes","Nfad_2020","SE",1287.52
"4",1,"3",5,"No","Yes","Nfad_2020","SE",2330.38
"5",1,"3",5,"Yes","Yes","Nfad_2025","SE",1689.9
"6",1,"3",5,"No","Yes","Nfad_2025","SE",3773.37
"7",1,"3",5,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",5,"No","Yes","fadsurv","SE",0.02
"9",1,"3",5,"Yes","Yes","fjusurv","SE",0.03
"10",1,"3",5,"No","Yes","fjusurv","SE",0.04
"11",1,"3",5,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"3",5,"No","Yes","ppn_breedy","SE",0.18
"13",1,"3",5,"Yes","Yes","rel_ad_15_25","SE",0.05
"14",1,"3",5,"No","Yes","rel_ad_15_25","SE",0.16
