"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"1",2,"Yes","Yes","Nfad_2015","SE",6726.38
"2",3,"1",2,"No","Yes","Nfad_2015","SE",17010.77
"3",3,"1",2,"Yes","Yes","Nfad_2020","SE",9150.29
"4",3,"1",2,"No","Yes","Nfad_2020","SE",15044.55
"5",3,"1",2,"Yes","Yes","Nfad_2025","SE",13024.89
"6",3,"1",2,"No","Yes","Nfad_2025","SE",21835.93
"7",3,"1",2,"Yes","Yes","fadsurv","SE",0.01
"8",3,"1",2,"No","Yes","fadsurv","SE",0.02
"9",3,"1",2,"Yes","Yes","fjusurv","SE",0.03
"10",3,"1",2,"No","Yes","fjusurv","SE",0.05
"11",3,"1",2,"Yes","Yes","ppn_breedy","SE",0.03
"12",3,"1",2,"No","Yes","ppn_breedy","SE",0.26
"13",3,"1",2,"Yes","Yes","rel_ad_15_25","SE",0.09
"14",3,"1",2,"No","Yes","rel_ad_15_25","SE",0.23
